timestamp,rssi_dbm,rx_bitrate_mbps,tx_bitrate_mbps,rtt_ms
1766648611.5157316,-43,866.7,702.0,428.0
1766648612.9591558,-47,526.6,702.0,24.0
1766648613.9940746,-46,702.0,702.0,18.9
1766648615.0249245,-44,866.7,585.0,152.0
1766648616.1903586,-45,866.7,585.0,39.1
1766648617.2400098,-42,6.0,780.0,38.5
1766648618.288245,-51,866.7,780.0,18.9
1766648619.3180835,-51,866.7,780.0,34.5
1766648620.363666,-48,866.7,780.0,19.2
1766648621.39385,-50,866.7,780.0,14.2
1766648622.418287,-51,866.7,780.0,23.6
1766648623.4539447,-51,866.7,780.0,14.4
1766648624.4781208,-51,866.7,585.0,39.7
1766648625.529028,-51,866.7,780.0,28.8
1766648626.568483,-35,702.0,780.0,119.0
1766648627.702737,-36,6.0,780.0,15.2
1766648628.7291698,-36,780.0,780.0,15.8
1766648629.757743,-35,866.7,780.0,140.0
1766648630.909438,-35,6.0,780.0,16.5
1766648631.9371338,-35,866.7,780.0,16.0
1766648632.962205,-39,866.7,780.0,40.1
1766648634.0136616,-40,866.7,780.0,39.6
1766648635.0670638,-39,866.7,780.0,36.5
1766648636.1146042,-39,866.7,780.0,37.2
1766648637.1632242,-39,866.7,780.0,37.0
1766648638.2123356,-35,866.7,585.0,33.5
1766648639.2565584,-40,866.7,780.0,28.6
1766648640.2973247,-39,866.7,780.0,18.5
1766648641.3264968,-35,866.7,780.0,122.0
1766648642.4597657,-42,866.7,780.0,15.2
1766648643.4868467,-60,585.0,585.0,20.9
1766648644.5184076,-60,585.0,351.0,173.0
1766648645.70238,-63,6.0,351.0,38.3
1766648646.7520206,-65,585.0,234.0,25.2
1766648647.786826,-64,585.0,234.0,77.7
1766648648.875277,-64,585.0,234.0,126.0
1766648650.0122085,-68,585.0,234.0,27.1
1766648651.0527382,-65,585.0,234.0,87.4
1766648652.151124,-65,585.0,351.0,46.0
1766648653.2074258,-65,585.0,234.0,84.3
1766648654.3019948,-62,585.0,351.0,38.8
1766648655.3518536,-61,585.0,351.0,91.4
1766648656.4558842,-58,324.0,234.0,37.9
1766648657.5057619,-76,162.0,29.3,414.0
1766648658.930969,-76,162.0,6.5,243.0
1766648660.1862957,-74,52.0,29.3,29.6
1766648661.231669,-73,52.0,13.5,38.5
1766648662.2818537,-72,117.0,117.0,
1766648664.2931905,-77,117.0,6.5,56.8
1766648665.3608594,-87,351.0,29.3,
1766648667.373349,-96,13.0,29.3,
1766648669.3861563,-96,13.0,6.5,
1766648671.39737,-96,13.0,6.5,
1766648673.408346,,,,
1766648675.498805,,,,
1766648676.770559,,,,
1766648678.7823524,,,,
1766648679.843355,,,,
1766648681.8555458,,,,
1766648682.9146051,,,,
1766648684.9270566,,,,
1766648685.9868193,,,,
1766648687.9980664,,,,
1766648689.058602,,,,
1766648691.070221,,,,
1766648692.1306431,,,,
1766648694.141972,,,,
1766648695.2025774,,,,
1766648697.2147229,,,,
1766648698.2758436,,,,
1766648700.287687,,,,
1766648701.3464556,,,,
1766648703.3578064,,,,
1766648704.4186113,,,,
1766648705.428486,,,,
1766648706.4389153,,,,
1766648707.4487467,,,,
1766648708.460193,,,,
1766648709.4702842,,,,
1766648710.4799616,,,,
1766648711.4897308,,,,
1766648712.4995546,,,,
1766648713.5087008,,,,
1766648714.5182488,,,,
1766648715.5292804,,,,
1766648716.5385525,,,,
1766648717.5520904,,,,
1766648718.5627222,,,,
1766648719.5722554,,,,
1766648720.5814855,,,,
1766648721.5922494,,,,
1766648722.6023827,,,,
1766648723.6121624,,,,
1766648724.6226616,,,,
1766648725.6324983,,,,
1766648726.6420672,,,,
1766648727.6529462,,,,
1766648728.6617746,,,,
1766648729.6724794,,,,
1766648730.68347,,,,
1766648731.6932993,,,,
1766648732.7034478,,,,
1766648733.714568,,,,
1766648734.725176,,,,
1766648735.73598,,,,
1766648736.7475502,,,,
1766648737.7585473,,,,
1766648738.7684524,,,,
1766648739.7809432,,,,
1766648740.7918806,,,,
1766648741.801481,,,,
1766648742.8112757,,,,
1766648743.8218353,,,,
1766648744.8328547,,,,
1766648745.8414717,,,,
1766648746.851877,,,,
1766648747.860371,,,,
1766648748.8745215,,,,
1766648749.8847938,,,,
1766648750.8939507,,,,
1766648751.9035876,,,,
1766648752.9140475,,,,
1766648753.9239967,,,,
1766648754.932596,,,,
1766648755.9436574,,,,
1766648756.9525473,,,,
1766648757.9639456,,,,
1766648758.9743059,,,,
1766648759.9837565,,,,
1766648760.993706,,,,
1766648762.0064735,,,,
1766648763.0175488,,,,
1766648764.0313075,,,,
1766648765.0445645,,,,
1766648766.0552447,,,,
1766648767.0679555,,,,
1766648768.078497,,,,
1766648769.091314,,,,
1766648770.1009917,,,,
1766648771.1110985,,,,
1766648772.1213849,,,,
1766648773.1312077,,,,
1766648774.1443167,,,,
1766648775.155329,,,,
1766648776.1639867,,,,
1766648777.180011,,,,
1766648778.1912398,,,,
1766648779.2043447,,,,
1766648780.2132094,,,,
1766648781.224217,,,,
1766648782.2351892,,,,
1766648783.2441394,,,,
1766648784.2547054,,,,
1766648785.2673333,,,,
1766648786.2768455,,,,
1766648787.2871149,,,,
1766648788.2964404,,,,
1766648789.3054335,,,,
1766648790.3146694,,,,
1766648791.3264394,,,,
1766648792.3331943,,,,
1766648793.3434105,,,,
1766648794.355382,,,,
1766648795.3645022,,,,
1766648796.3740988,,,,
1766648797.3843327,,,,
1766648798.394091,,,,
1766648799.4040809,,,,
1766648800.4134324,,,,
1766648801.4228575,,,,
1766648802.4313917,,,,
1766648803.4404655,,,,
1766648804.4504595,,,,
1766648805.4608655,,,,
1766648806.4706943,,,,
1766648807.4798913,,,,
1766648808.4890916,,,,
1766648809.4991112,,,,
1766648810.5089152,,,,
1766648811.5181541,,,,
1766648812.5281746,,,,
1766648813.5384803,,,,
1766648814.5471563,,,,
1766648815.5569687,,,,
1766648816.5673957,,,,
1766648817.5768425,,,,
1766648818.5859892,,,,
1766648819.5951133,,,,
1766648820.6057942,,,,
1766648821.6154792,,,,
1766648822.6253793,,,,
1766648823.6359012,,,,
1766648824.6455188,,,,
1766648825.6546893,,,,
1766648826.6655781,,,,
1766648827.675107,,,,
1766648828.6846926,,,,
1766648829.6959507,,,,
1766648830.7049506,,,,
1766648831.7164464,,,,
1766648832.7254694,,,,
1766648833.7338705,,,,
1766648834.7441802,,,,
1766648835.753927,,,,
1766648836.7637715,,,,
1766648837.7749226,,,,
1766648838.7852323,,,,
1766648839.795157,,,,
1766648840.8056898,,,,
1766648841.814744,,,,
1766648842.8247368,,,,
1766648843.8348145,,,,
1766648844.8445227,,,,
1766648845.8534074,,,,
1766648846.8633637,,,,
1766648847.872688,,,,
1766648848.883849,,,,
1766648849.8941321,,,,
1766648850.9036813,,,,
1766648851.9149525,,,,
1766648852.925614,,,,
1766648853.93447,,,,
1766648854.9457824,,,,
1766648855.9555457,,,,
1766648856.9640515,,,,
1766648857.975924,,,,
1766648858.985338,,,,
1766648859.9940836,,,,
1766648861.0054674,,,,
1766648862.0145862,,,,
1766648863.0231106,,,,
1766648864.035321,,,,
1766648865.0447707,,,,
1766648866.0534556,,,,
1766648867.0639021,,,,
1766648868.073527,,,,
1766648869.0853577,,,,
1766648870.097499,,,,
1766648871.1104646,,,,
1766648872.120461,,,,
